user_id,signup_date,acquisition_channel,country,sessions_count,actions_count,is_activated,days_to_activate,activation_date,is_converted,days_to_convert,subscription_date,plan_type,revenue,is_churned,churn_date
1,2025-03-16 05:30:14,Organic,UK,4,12.0,1,2.0,2025-03-18 05:30:14,0,,,,0,1,1745904614000000000
2,2025-03-22 14:03:31,Organic,Germany,7,42.0,1,2.0,2025-03-24 14:03:31,0,,,,0,1,1746194611000000000
3,2025-03-16 08:16:28,Referral,USA,5,20.0,0,,,0,,,,0,1,1743840988000000000
4,2025-03-17 19:37:14,Organic,India,7,21.0,0,,,0,,,,0,0,
5,2025-01-20 14:12:23,Organic,Canada,1,3.0,0,,,0,,,,0,1,1740579143000000000
6,2025-02-19 19:42:52,Organic,India,8,48.0,1,2.0,2025-02-21 19:42:52,1,8.0,2025-02-27 19:42:52,Basic,50,0,
7,2025-02-27 00:28:04,Organic,Canada,7,21.0,1,2.0,2025-03-01 00:28:04,1,14.0,2025-03-13 00:28:04,Basic,50,1,1744158484000000000
8,2025-03-27 14:08:38,Referral,India,6,27.0,1,2.0,2025-03-29 14:08:38,1,6.0,2025-04-02 14:08:38,Basic,50,1,1746454118000000000
9,2025-01-26 20:41:29,Organic,India,4,12.0,1,2.0,2025-01-28 20:41:29,0,,,,0,0,
10,2025-03-26 09:22:26,Organic,USA,5,22.5,1,1.0,2025-03-27 09:22:26,0,,,,0,1,1746091346000000000
11,2025-01-19 04:06:46,Ads,Germany,3,18.0,1,3.0,2025-01-22 04:06:46,1,6.0,2025-01-25 04:06:46,Pro,120,1,1742357206000000000
12,2025-03-13 17:32:58,Referral,Canada,3,18.0,1,1.0,2025-03-14 17:32:58,1,7.0,2025-03-20 17:32:58,Pro,120,0,
13,2025-01-14 03:34:34,Organic,USA,2,8.0,0,,,0,,,,0,0,
14,2025-02-16 19:34:47,Organic,UK,3,18.0,1,2.0,2025-02-18 19:34:47,0,,,,0,0,
15,2025-03-25 09:10:12,Referral,USA,6,36.0,1,1.0,2025-03-26 09:10:12,0,,,,0,0,
16,2025-03-16 20:17:39,Ads,UK,5,30.0,1,3.0,2025-03-19 20:17:39,0,,,,0,1,1745698659000000000
17,2025-01-15 08:25:11,Organic,Canada,3,9.0,1,1.0,2025-01-16 08:25:11,1,11.0,2025-01-26 08:25:11,Basic,50,0,
18,2025-02-21 18:21:11,Organic,India,3,6.0,0,,,0,,,,0,0,
19,2025-01-25 17:57:22,Organic,India,6,36.0,1,3.0,2025-01-28 17:57:22,0,,,,0,0,
20,2025-02-22 08:34:29,Organic,Germany,3,9.0,0,,,0,,,,0,1,1743237269000000000
21,2025-03-27 16:54:12,Organic,Germany,4,18.0,1,1.0,2025-03-28 16:54:12,1,10.0,2025-04-06 16:54:12,Basic,50,1,1747068852000000000
